	Iozone: Performance Test of File I/O
	        Version $Revision: 3.492 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Mon Nov 22 16:53:00 2021

	Excel chart generation enabled
	Auto Mode
	Command line used: iozone -Ra
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            8192      16   273013   550462   525637   584848   496967   586435   467023    510661    445236   380882   428250   485857   587327
            8192      32   338007   561059   584768   720997   589019   623964   714327    564581    581778   457527   413634   590832   763112
            8192      64   333794   792031   820926   679828   677135   706702   854490    581611    683302   510024   699751  1016235   694180
            8192     128   356407   615007   667207  1096920   608656   562207   673458    544460    631707   482649   483281   633817  1084594
            8192     256   304718   740020   691025   695712  1098253   645692   642504    895395    603863   488433   443072   595646   931870
            8192     512   335489   636623  1015364   693410   658575   940955   659523    758730   1150239   569003   513669   607988   722331
            8192    1024   337618   535358   838496   872322   618773   659106   896657    563100    651754   491388   540827   758596  1204894
            8192    2048   317273   931743   933794   970948   787529   640504   718540    626250    755843   581198   751906   721315   705773
            8192    4096   376764   637604  1016385   805662   991657   808924   664498    608893    629094   549836   932502  1030963   734248
            8192    8192   446579   911838  1031458  1032915   753770   658146  1011478    782578    577923   701179   715890   709138   854298
           16384       4   211014   457855   410646   511393   337591   373782   317371    369716    352048   298091   380918   341112   467378
           16384       8   266064   576574   548913   548326   465971   478085   500411    429135    432125   372550   423040   469630   703654
           16384      16   323628   765422   648200   693297   625724   531671   495611    642407    550756   422900   556785   766463   689914
           16384      32   289372   741224   737984   799260   551596   539336   755542    514510    613836   527156   664959   882718   716590
           16384      64   400498  1057648   806142   926640   653638   609567   694326    625388    818704   502424   677300   823403   859963
           16384     128   351762   879577   914031   742762   802424   711913   776238    729306    726984   601510   727792   913776  1130239
           16384     256   396887   757257   988530   901359   824965   677360   759467    656122    816225   498325   748538  1139667   728208
           16384     512   377851   743212   746254   894076   590095   838310   813587    581984    818587   472624   598461   771740   887208
           16384    1024   364291  1207197  1045293  1358205  1041633  1126201  1390468   1177271   1476828   891259   863312  1267634  1607668
           16384    2048   679101  1196082  1371377  1343835  1352484  1203034  1429547   1237078   1362378   927115   980309  1346812  1325561
           16384    4096   669912  1204172  1340088  1502564  1364976  1192160  1187833   1181766   1441481  1124966  1096724  1403102  1390356
           16384    8192   565905  1120362  1562452  1525072  1483651  1069383  1424804    195723    260717   204017   268167   261062   247960
           16384   16384   113966   237119   248347   422988   329828   371855   554301    358833    507305   514202   408160   605560   449209
           32768      64   197476   394767   416599   597704   628617   651620  1095516    569886    535215   628244   685293   486026   479063
           32768     128   341283   793913  1148388   908052  1191693   782705   701341    583994    633391   597355   719877   771739  1044632
           32768     256   397577   647961   764106   751596  1047570   534063   791039    599466    976199   548079  1089291  1140110  1254419
           32768     512   541066  1365502  1407078  1630823  1188406   537154   627294    892664   1003366   527655  1000088  1104718  1618970
           32768    1024   422692   767777  1096872  1321086  1013667   786669  1005061    803178    975036   568228   738435  1484609   915668
           32768    2048   256669   940339  1397890  1483792  1410703  1278944  1367391   1204845   1492169   898201   899647   826348  1185229
           32768    4096   573068  1341132  1508100  1507273  1437197  1172209  1304249   1223138   1414114   984380  1021768  1406718  1465533
           32768    8192   711839  1373980  1380466  1548367  1262879  1110323  1432046   1152095   1085214  1122153  1078783   934813  1442946
           32768   16384   686989  1270080  1509690  1577730  1509690  1173139  1429915   1180363   1479973  1059008  1568457  1476777  1463505
           65536      64   668209  1281602  1596643  1559973  1422036  1180722  1402346   1269909   1511224  1038192  1090574  1399084  1646016
           65536     128   675120  1254687  1522533  1618615  1545518  1280253  1647082   1420860   1497524  1074359  1106879  1473151  1644274
           65536     256   681536  1374954  1482510  1730600  1591457  1285119  1616293   1261128   1594236  1054360  1107307  1547415  1713042
           65536     512   753850  1313453  1363773  1717538  1597395  1335046  1516477   1335176   1561870   980856  1019887  1571567  1672995
           65536    1024   730338  1326312  1643330  1692297  1573384  1218004  1423118   1340973   1496424   950816   972173  1480370  1688296
           65536    2048   713202  1233710  1469182  1575269  1400018  1360318  1398607   1190329   1496701   920435   931979  1431202  1467841
           65536    4096   752803  1311817  1509664  1569082  1401867  1241870  1411347   1279699   1474541   952767   907287  1448786  1560451
           65536    8192   746517  1378547  1511440  1593727  1453605  1260186  1437669   1285300   1507239   973254  1027309  1472322  1521715
           65536   16384   764356  1364085  1525016  1571675  1479295  1345344  1492540   1339216   1536851  1137679  1157981  1545370  1555937
          131072      64   729227  1286596  1539217  1687289  1381800  1259619  1411484   1346979   1401270  1017354  1081105  1335399  1699253
          131072     128   687750  1337521  1516020  1715174  1485305  1334962  1491050   1320053   1457585  1036354  1109425  1438583  1703165
          131072     256   734584  1392429  1394930  1690054  1469664  1353169  1550049   1377427   1631812  1039694  1105234  1493338  1753871
          131072     512   703288  1315942  1477652  1681597  1488490  1350340  1610676   1315058   1598830   983714  1029226  1532933  1827750
          131072    1024   694399  1289925  1546552  1712171  1464099  1251413  1557762   1260549   1478069   893951   982431  1599881  1761508
          131072    2048   695268  1310406  1539829  1595341  1482245  1266946  1507147   1275565   1510567   878810   952164  1540118  1600058
          131072    4096   703135  1257214  1525354  1586249  1519145  1211855  1506090   1229639   1511489   887954   905932  1498205  1544970
          131072    8192   763240  1372753  1516970  1563957  1512117  1268578  1495690   1325822   1485807   954459   967892  1518915  1341644
          131072   16384   764370  1404814  1533596  1540917  1534354  1386679  1529981   1364694   1522410  1023552  1050483  1540554  1580949
          262144      64   683027  1275106  1537501  1710932  1541307  1142005  1506878   1384280   1540556  1002539  1015070  1606236  1702133
          262144     128   728548  1342564  1508524  1779502  1570495  1303089  1529579   1495820   1601447  1077482  1108885  1530375  1761956
          262144     256   753571  1351703  1685142  1759911  1630846  1351932  1640000   1312314   1679280  1054713  1103267  1588018  1801864
          262144     512   722285  1337026  1640511  1800958  1660169  1299356  1608877   1316559   1656707   989984   996897  1578162  1775190
          262144    1024   746880  1370830  1735754  1719508  1578030  1340416  1686192    607601    714166   946546   978788  1662906  1743698
          262144    2048   662111  1266377  1320165  1535367  1541560  1237736  1481943   1228462   1535629   897738   905162  1519208  1565364
          262144    4096   777976  1350393  1569538  1564411  1477757  1384346  1527326   1277665   1497948   923471   936820  1547777  1585083
          262144    8192   766328  1399094  1530053  1588387  1539887  1387901  1408105   1313709   1553272   939426   942011  1539251  1571162
          262144   16384   727369  1334257  1556703  1328333  1552057  1326243  1554763   1268749   1537763   939365   955042  1533696  1559109
          524288      64   733671  1324752  1597678  1666226  1515769  1258900  1552208   1414635   1519745  1043342  1045596  1565174  1627895
          524288     128   723986  1358375  1709058  1754908  1533993  1320997  1543375   1501707   1620448  1096549  1099113  1630279  1727837
          524288     256   725658  1340108  1624455  1802630  1672983  1262623  1690881   1324595   1690579  1042699  1042498  1737336  1812627
          524288     512   766606  1299331  1733946  1794277  1713901  1400136  1700020   1410218   1702309  1024288  1038146  1697186  1773423
          524288    1024   751021  1354760  1660890  1723282  1611923  1356060  1576934   1238072   1616371   938150   944237  1661068  1710926
          524288    2048   749972  1358491  1530355  1591283  1532499  1380853  1529049   1365976   1540043   935390   936263  1548162  1583545
          524288    4096   755023  1369988  1544950  1564001  1549249  1354151  1537474   1359449   1503519   916989   941629  1539181  1611581
          524288    8192   749919  1356730  1527877  1593890  1538723  1362750  1599823   1343604   1550597   938175   943534  1536240  1575019
          524288   16384   753515  1393463  1561631  1559434  1564973  1395887  1579328   1373916   1565015   949654   964214  1602258  1593130

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   68744  201255  27826  119421  166233 
"128"   23598  147297  217373  67549  419822  237049 
"256"   67830  53332  45269  65846  340351  289980  98727 
"512"   138754  152608  98104  320816  141162  330952  103519  371292 
"1024"   118189  113213  145578  415421  430279  212982  247351  352369  187612 
"2048"   128862  207227  342463  418637  341048  456406  249875  229212  412307  357544 
"4096"   152813  215614  295996  268147  255201  270009  504373  390275  366333  373826  292026 
"8192"   168144  257935  273013  338007  333794  356407  304718  335489  337618  317273  376764  446579 
"16384"   211014  266064  323628  289372  400498  351762  396887  377851  364291  679101  669912  565905  113966 
"32768"   0  0  0  0  197476  341283  397577  541066  422692  256669  573068  711839  686989 
"65536"   0  0  0  0  668209  675120  681536  753850  730338  713202  752803  746517  764356 
"131072"   0  0  0  0  729227  687750  734584  703288  694399  695268  703135  763240  764370 
"262144"   0  0  0  0  683027  728548  753571  722285  746880  662111  777976  766328  727369 
"524288"   0  0  0  0  733671  723986  725658  766606  751021  749972  755023  749919  753515 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   104214  532815  516414  983980  608965 
"128"   378663  600657  766076  227313  731625  848397 
"256"   127103  370536  714967  468922  1007446  603970  980760 
"512"   413549  454224  225651  853257  644733  649806  857687  859060 
"1024"   487631  440834  549031  597369  655139  711110  845498  307226  306393 
"2048"   254382  325761  619103  664094  338856  284248  733254  365516  818260  269152 
"4096"   259523  345075  667313  607990  523189  540658  374233  562724  450008  908372  526605 
"8192"   392957  418002  550462  561059  792031  615007  740020  636623  535358  931743  637604  911838 
"16384"   457855  576574  765422  741224  1057648  879577  757257  743212  1207197  1196082  1204172  1120362  237119 
"32768"   0  0  0  0  394767  793913  647961  1365502  767777  940339  1341132  1373980  1270080 
"65536"   0  0  0  0  1281602  1254687  1374954  1313453  1326312  1233710  1311817  1378547  1364085 
"131072"   0  0  0  0  1286596  1337521  1392429  1315942  1289925  1310406  1257214  1372753  1404814 
"262144"   0  0  0  0  1275106  1342564  1351703  1337026  1370830  1266377  1350393  1399094  1334257 
"524288"   0  0  0  0  1324752  1358375  1340108  1299331  1354760  1358491  1369988  1356730  1393463 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   16994  608965  852702  1049372  1168097 
"128"   237049  74329  1000121  761728  876086  1040839 
"256"   103815  716876  870974  1024752  977189  1384034  1148625 
"512"   111913  291587  206195  1302447  309935  130611  1108203  232643 
"1024"   300204  274898  215807  216079  463779  379387  696126  737231  851870 
"2048"   290998  413558  228675  247129  617989  969211  856526  559429  553946  814303 
"4096"   280163  393277  386343  425826  954978  504936  953229  836784  974810  461256  547150 
"8192"   306027  474432  525637  584768  820926  667207  691025  1015364  838496  933794  1016385  1031458 
"16384"   410646  548913  648200  737984  806142  914031  988530  746254  1045293  1371377  1340088  1562452  248347 
"32768"   0  0  0  0  416599  1148388  764106  1407078  1096872  1397890  1508100  1380466  1509690 
"65536"   0  0  0  0  1596643  1522533  1482510  1363773  1643330  1469182  1509664  1511440  1525016 
"131072"   0  0  0  0  1539217  1516020  1394930  1477652  1546552  1539829  1525354  1516970  1533596 
"262144"   0  0  0  0  1537501  1508524  1685142  1640511  1735754  1320165  1569538  1530053  1556703 
"524288"   0  0  0  0  1597678  1709058  1624455  1733946  1660890  1530355  1544950  1527877  1561631 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   598110  863676  75280  75280  842003 
"128"   595328  393656  85957  895074  703810  1504659 
"256"   406904  689708  91290  163063  316849  169311  630572 
"512"   143368  118817  609421  192844  576535  690108  850554  784094 
"1024"   196774  584126  394910  613145  1040496  885778  921705  987619  214086 
"2048"   213002  341048  755171  730138  452678  1062741  853377  834881  1169684  743665 
"4096"   345367  516644  671907  1065563  1030165  693861  852649  997101  1119078  953652  647690 
"8192"   400352  594399  584848  720997  679828  1096920  695712  693410  872322  970948  805662  1032915 
"16384"   511393  548326  693297  799260  926640  742762  901359  894076  1358205  1343835  1502564  1525072  422988 
"32768"   0  0  0  0  597704  908052  751596  1630823  1321086  1483792  1507273  1548367  1577730 
"65536"   0  0  0  0  1559973  1618615  1730600  1717538  1692297  1575269  1569082  1593727  1571675 
"131072"   0  0  0  0  1687289  1715174  1690054  1681597  1712171  1595341  1586249  1563957  1540917 
"262144"   0  0  0  0  1710932  1779502  1759911  1800958  1719508  1535367  1564411  1588387  1328333 
"524288"   0  0  0  0  1666226  1754908  1802630  1794277  1723282  1591283  1564001  1593890  1559434 

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   176392  520419  546928  771797  987600 
"128"   123566  627328  41330  895074  66388  895074 
"256"   453858  552960  389064  125249  948698  1254656  1280084 
"512"   164258  514637  183910  99343  652174  285539  1127402  279154 
"1024"   317233  180568  165084  253139  173556  894262  184509  418294  343492 
"2048"   263270  321505  466950  453299  309739  259838  748264  391362  574969  424470 
"4096"   252775  292240  389100  571029  456998  595699  887719  548110  732466  951223  714315 
"8192"   301055  361948  496967  589019  677135  608656  1098253  658575  618773  787529  991657  753770 
"16384"   337591  465971  625724  551596  653638  802424  824965  590095  1041633  1352484  1364976  1483651  329828 
"32768"   0  0  0  0  628617  1191693  1047570  1188406  1013667  1410703  1437197  1262879  1509690 
"65536"   0  0  0  0  1422036  1545518  1591457  1597395  1573384  1400018  1401867  1453605  1479295 
"131072"   0  0  0  0  1381800  1485305  1469664  1488490  1464099  1482245  1519145  1512117  1534354 
"262144"   0  0  0  0  1541307  1570495  1630846  1660169  1578030  1541560  1477757  1539887  1552057 
"524288"   0  0  0  0  1515769  1533993  1672983  1713901  1611923  1532499  1549249  1538723  1564973 

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   188798  457452  312204  720041  393135 
"128"   355589  501839  646983  107939  377597  864797 
"256"   254996  355096  649647  714967  506767  882426  101991 
"512"   303496  213344  493696  250499  618371  662230  602919  588544 
"1024"   279387  414220  499542  656340  581831  853903  529732  585479  743742 
"2048"   168490  358978  278714  322725  596945  608791  611174  480077  309181  361258 
"4096"   290825  313868  343681  528045  744045  565670  518405  543085  876890  479565  432428 
"8192"   343997  388268  586435  623964  706702  562207  645692  940955  659106  640504  808924  658146 
"16384"   373782  478085  531671  539336  609567  711913  677360  838310  1126201  1203034  1192160  1069383  371855 
"32768"   0  0  0  0  651620  782705  534063  537154  786669  1278944  1172209  1110323  1173139 
"65536"   0  0  0  0  1180722  1280253  1285119  1335046  1218004  1360318  1241870  1260186  1345344 
"131072"   0  0  0  0  1259619  1334962  1353169  1350340  1251413  1266946  1211855  1268578  1386679 
"262144"   0  0  0  0  1142005  1303089  1351932  1299356  1340416  1237736  1384346  1387901  1326243 
"524288"   0  0  0  0  1258900  1320997  1262623  1400136  1356060  1380853  1354151  1362750  1395887 

"Backward read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   126512  447537  489126  769584  27291 
"128"   76468  27991  695603  731625  824932  28836 
"256"   475147  629094  146629  847597  792543  65588  74416 
"512"   187001  262695  103689  294951  267106  129025  255750  617659 
"1024"   124528  184406  199804  475590  380529  950675  470330  428433  776834 
"2048"   250123  259830  433161  510218  334853  616348  508797  924562  552307  835206 
"4096"   271907  452747  532778  536538  455774  548618  851381  688632  426619  841580  920836 
"8192"   288350  391698  467023  714327  854490  673458  642504  659523  896657  718540  664498  1011478 
"16384"   317371  500411  495611  755542  694326  776238  759467  813587  1390468  1429547  1187833  1424804  554301 
"32768"   0  0  0  0  1095516  701341  791039  627294  1005061  1367391  1304249  1432046  1429915 
"65536"   0  0  0  0  1402346  1647082  1616293  1516477  1423118  1398607  1411347  1437669  1492540 
"131072"   0  0  0  0  1411484  1491050  1550049  1610676  1557762  1507147  1506090  1495690  1529981 
"262144"   0  0  0  0  1506878  1529579  1640000  1608877  1686192  1481943  1527326  1408105  1554763 
"524288"   0  0  0  0  1552208  1543375  1690881  1700020  1576934  1529049  1537474  1599823  1579328 

"Record rewrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   53073  35261  520419  557144  695778 
"128"   51777  579270  288205  32113  64747  136026 
"256"   148927  219902  150662  812944  439912  999940  958864 
"512"   164107  319622  740816  236720  231664  259646  523035  825699 
"1024"   314400  195378  316439  258845  531436  440021  471673  272405  238307 
"2048"   186264  460023  254978  208742  631528  294935  540662  412169  761059  314744 
"4096"   283128  356637  549812  720607  335159  553514  411860  653480  413317  728429  759203 
"8192"   358448  456815  510661  564581  581611  544460  895395  758730  563100  626250  608893  782578 
"16384"   369716  429135  642407  514510  625388  729306  656122  581984  1177271  1237078  1181766  195723  358833 
"32768"   0  0  0  0  569886  583994  599466  892664  803178  1204845  1223138  1152095  1180363 
"65536"   0  0  0  0  1269909  1420860  1261128  1335176  1340973  1190329  1279699  1285300  1339216 
"131072"   0  0  0  0  1346979  1320053  1377427  1315058  1260549  1275565  1229639  1325822  1364694 
"262144"   0  0  0  0  1384280  1495820  1312314  1316559  607601  1228462  1277665  1313709  1268749 
"524288"   0  0  0  0  1414635  1501707  1324595  1410218  1238072  1365976  1359449  1343604  1373916 

"Stride read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   84312  115764  39728  799377  913649 
"128"   57249  650117  785122  1000121  864797  677178 
"256"   106757  64808  977189  149259  1180188  1332507  178635 
"512"   364177  333988  579804  1190529  425597  142938  117241  128293 
"1024"   264797  292736  506195  267086  539243  1729884  707129  430408  357651 
"2048"   235374  238385  556818  411084  602683  679916  430879  496361  298419  823121 
"4096"   227657  459246  348866  416221  730132  640614  872437  986736  737213  456173  922121 
"8192"   302399  371316  445236  581778  683302  631707  603863  1150239  651754  755843  629094  577923 
"16384"   352048  432125  550756  613836  818704  726984  816225  818587  1476828  1362378  1441481  260717  507305 
"32768"   0  0  0  0  535215  633391  976199  1003366  975036  1492169  1414114  1085214  1479973 
"65536"   0  0  0  0  1511224  1497524  1594236  1561870  1496424  1496701  1474541  1507239  1536851 
"131072"   0  0  0  0  1401270  1457585  1631812  1598830  1478069  1510567  1511489  1485807  1522410 
"262144"   0  0  0  0  1540556  1601447  1679280  1656707  714166  1535629  1497948  1553272  1537763 
"524288"   0  0  0  0  1519745  1620448  1690579  1702309  1616371  1540043  1503519  1550597  1565015 

"Fwrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   68307  397208  25196  80495  515423 
"128"   171152  166430  83109  767171  445978  90721 
"256"   240597  71684  72131  139053  357579  455592  907792 
"512"   174269  77929  227444  525082  141749  256268  206274  249278 
"1024"   243412  178031  203217  328617  262163  249449  497574  94161  745938 
"2048"   206435  363505  435930  253653  244213  548639  294925  700429  663427  758774 
"4096"   191714  329470  364282  398172  417363  392603  348802  365880  361804  522584  436815 
