	Iozone: Performance Test of File I/O
	        Version $Revision: 3.492 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Mon Nov 22 16:50:49 2021

	Excel chart generation enabled
	Auto Mode
	Command line used: iozone -Ra
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   107382   639427    65236   175815   113273   260160    23231    204474     69945    51534   582535   188137   821391
              64       8   331481   166233   328238   500060   901377   710511    31809    725882   1017549   752329   889431   581273  1049372
              64      16   388021   496362  1232453  1002351  1204796    28469   459802    541412    916769   172095   939223   831569  1204796
              64      32   340306  1204796  1553394  1828508   306151    75470   666414    983980   1124074   901377  1562436   474430   801764
              64      64   149229  1226821  1722886  2133730   270108   653436   926260   1163036   1421755   454354   666414   913649  1392258
             128       4   118966   584313   418513   719853   624409   333293   571257    621518    486822    97936   576780   735635   122021
             128       8    61246   281407   559353   272273    91090   761728   853794    170445   1057236   150055   372102  1057236  1217930
             128      16   502309  1007629  1048974  1561553    97865   435487   113364     75649    824932   115734   876086  1254941  1521718
             128      32   582412   143325   145975   612303  1165070  1065630  1162547    129936   1363288  1111981  1387960   342216  1705404
             128      64   144951   488594  1455701  1778862  1440082   144483   604036   1040839   1471662   831319  1642783   142074   542400
             128     128   214336  1278855  1878447  2098744   262296   895074   627328    138518   1009524  1007629  1281909  1152564  1663139
             256       4   153483   744204   592636   454627   219767   325790   129027    167332    635047   416210   479390   757326   201573
             256       8   413008  1012194  1219045   249254  1016025   121963   750445    797250    203521   671589   195410  1044693  1173737
             256      16   147455   658008  1235882  1523457   243103   359495   251473   1016025   1008392   147556   526910  1148625   258061
             256      32   159502  1226004   264741   821025  1489641  1137672   186032   1267990    237458   894929   412849   254211   505812
             256      64   407058  1384034   201914  1532153  1683493   274698   287342   1391207   1881098   160600  1368162  1004618   763791
             256     128   458706  1339154  1814348   269797  1311351  1185399  1471270   1147398   1610276   227545  1673001   739590   250768
             256     256   322851  1031644  1354356  1600674  1286217   174484  1052888    812329   1131677   459687  1274008  1158540  1319408
             512       4   301198   566946   306748   706221   263081   514514   274060    151928    299434   288453   490987   305830   592604
             512       8   466762   642419   288803  1071167   284593   650593   284895    295804    251732   313693   552363  1096322   274375
             512      16   291389   747521  1429934  1155924  1414860   929322  1204552    912733    446851   186319   680702  1379416   774759
             512      32   281165   994294  1667552   434642   209842   630536   327769    354089   1625889   313922   503418   330748  1640796
             512      64   232718   447503  1340664  1199171  1645826   383218  1501940    540137   1520013   365727  1305615   488530  1652157
             512     128   339265   792778  1869318   464139  1736314   438011  1442420    306048   1199171   328421   714920   298518  1125040
             512     256   736750  1387437   509026  1897396   438368   971357   557237   1279935    562638   294587  1483267   502475  1630828
             512     512   568296  1024169   438011   753025   213514   333573   381516    439175   1640796   382399  1433753   395353  1753325
            1024       4   238970   420670   317515   510224   290656   400470   452301    288450    322837   283182   432228   403783   629040
            1024       8   212266   750238   973296  1048113   792019   704230   232150    521119    475590   636404   698050   605197   457164
            1024      16   337076  1020956   642016  1147832   604175   886692   304590    457310    810095   498556   776975   983774  1091809
            1024      32   368609  1002839   593243  1284839   528363   917570  1125277    528104    545544   369021   771670   735086  1317957
            1024      64   258517  1141730   562035   621755   440789  1057924   729344   1771262    602734   523788   877454  1698417   499251
            1024     128   379253  1141730   620587  1265904   632467  1082454   668809    378985    595051   556861  1047091   600627  1462462
            1024     256   330336   964986  1221964  1762539   660580  1056883   361474    598117    790852   631352  1194770  1747480  1145383
            1024     512   266953  1217806  1008964   964336  1825466   955327   263708    605965    701355   559254  1264413  1735476  1154311
            1024    1024   581516  1190465  1411979  1759651  1238168  1058967  1005892    730833    825827   845664   911726   549945  1097388
            2048       4   342299   414656   515082   669529   478180   371684   418984    436662    451916   403533   478047   597984   598151
            2048       8   295696   519914   562175   898640   527838   499391   598651    689799    506428   649777   662557   615377   948136
            2048      16   445586   955200   666671   791932   421823   695383   622693    561110    322374   500001   625368   416768   706710
            2048      32   462102   955732   600576  1286533   509189   942002   851516    604464    891552   546266   819509   764990   981840
            2048      64   423487  1121576   812071  1651654   976261   746379   415418    895829    838631   633625   689577   822490  1301938
            2048     128   513266   683324   487018   835287  1283841  1069489   705202    673942   1192085   713579   938605   708167   874845
            2048     256   516538  1180454   978039  1662201   372781  1297807   886583    839286   1189279   442990   951708   949499  1400881
            2048     512   289264   793761  1557330  1549185   795894   859096   779004    764174    984090   827163   993193   572555  1382840
            2048    1024   508165   859439  1234397  1339497   914717  1082973   671938    752657    932998   632133  1517172  1272808  1506000
            2048    2048   446768   806354  1096381  1303518   591234  1059464  1190763   1058420    746055  1011913   699688  1351722   802212
            4096       4   278808   506365   541237   451355   369008   445214   424888    459713    415496   445943   431018   534785   471019
            4096       8   299505   761188   744722   825645   653903   602975   694001    671697    667521   538304   631803   709038   661277
            4096      16   383480   953705   796736  1209015   722517   841086   778115    641307    546575   662144   729574   573909   860163
            4096      32   424018   901177   931976  1075031   742021   822798   956573    910635    870933   591495   851719   819501   986282
            4096      64   537596   735382  1235623  1545674  1079896   959029   927949   1104402    821696   765734   988894   790576  1381484
            4096     128   493436   932583  1417737  1542067   866671   889650  1172943    782724   1143814   782581  1001986   702716  1293002
            4096     256   449560  1030721  1054315  1134673  1026043  1187208  1277617    747607   1212513   850875   906168  1032021  1584448
            4096     512   462087  1199727  1086521  1457550  1071945  1238206  1450413    911650   1283247   704271   888132  1161680   952542
            4096    1024   474230   950119  1465008  1457674   759505   988211  1112483    730256   1228906   728182   963331   841416  1451884
            4096    2048   670910   884110  1388069   993469  1297396  1194555   792582   1266876   1277142   801905  1508619   783009  1052958
            4096    4096   659475  1209355  1427633  1347355  1001928  1020436  1250645   1141306   1323482   870183   933901   985547  1167998
            8192       4   291498   557590   579668   677081   504527   462852   513953    561444    474183   411598   421572   587157   631174
            8192       8   400566   633081   883810   795570   678311   709636   657252    855554    671747   568015   461862   771144   833452
            8192      16   419887   893161   911137  1238375   724570   787547   962975    906498    872521   671366   769056   848560  1237261
            8192      32   436553  1081317  1002565  1474426   876148   823464   995017   1019038   1158031   724250   706455  1017378  1372862
            8192      64   419134  1024782  1194008  1386602  1208071  1011985  1373576   1149085   1093291   910630   846970  1335302  1305470
            8192     128   538100  1266540  1023348  1290709  1020915  1071972  1170458   1379089   1038158   834991   836434  1288628  1152516
            8192     256   533330  1161319  1354943  1649625  1279177  1160652  1224910   1203122   1083294   929726   839520  1466309  1243080
            8192     512   545550   993463  1221948  1113161  1285013  1039446  1143198   1003678   1744520   769779   958462  1081589  1495409
            8192    1024   679209   950797  1609747  1197128  1070436  1036561  1230393   1008125   1377541   780037   849168  1413120  1422480
            8192    2048   592084  1121262  1196086  1249362  1211650  1081726  1339205   1308852    998312   989857   892952   935040  1390361
            8192    4096   610429  1136843  1318748  1083329  1286264   937949  1312401   1159360   1139860   899921  1498932  1404398  1288628
            8192    8192   483301  1258192  1529764  1467311  1255480  1141451  1059086   1155112   1381251  1030839  1306562  1172294  1145904
           16384       4   301386   564399   559564   635580   423938   489835   498813    611025    442894   221160   450442   514977   572648
           16384       8   370863   735732   661770   788910   518990   626969   662593    740289    689326   559674   665719   804868   904884
           16384      16   468902   923825  1059426  1134007   884377   844408   937039    995144    979903   745947   810573  1019216  1169378
           16384      32   534549  1039207  1191313  1248382  1092783   917926  1240831   1281701   1051869   771082   915151  1067075  1348371
           16384      64   486386  1028306  1215245  1373351  1156585  1122339  1240360   1233547   1323646   751938  1002943  1433303  1273035
           16384     128   633710  1026432  1170553  1376239  1260796   926690  1405771   1179211   1301238   852125   927328  1448622  1543051
           16384     256   602486  1248768  1066115  1446731  1311345  1136520  1445180   1262070   1151932   901016   999268  1303707  1635134
           16384     512   657597  1180487  1381107  1578096  1244696  1126515  1245554   1036824   1247453   830991   943394  1315260  1540733
           16384    1024   527002  1154778  1443389  1472587  1260611  1117139  1269296   1115235   1294376   805821   860242  1115923  1138252
           16384    2048   571824  1153983  1167947  1212822  1092488  1161413  1262139   1046837   1135487   888849   947112  1266046  1411199
           16384    4096   598003  1154526  1329201  1287633  1280316  1216881  1279601   1209151   1027399  1029785  1019277   979610  1304152
           16384    8192   661662  1277603  1360248  1370229  1398334  1146455  1361137   1109491   1264764   969070  1595463  1107167  1495859
           16384   16384   675629  1367040  1394135  1493550  1415821  1181928  1314405   1226436   1338131  1292939  1333871  1458429  1483779
           32768      64   539444  1157597  1156973  1285018  1209415  1095403  1147938   1266253   1229067   798846   600960  1063894  1377850
           32768     128   519820  1244131  1173009  1502840  1228374  1027305  1154854   1103406   1213355   947385  1095289  1421486  1670730
           32768     256   678708  1354561  1296315  1498726  1368344  1193079  1481042   1374680   1202232   903420   929716  1402441  1439139
           32768     512   632281  1219459  1001283  1217914  1391310  1229341  1369898   1107174   1332743   919442   981610  1365055  1536028
           32768    1024   649231   718959  1413940  1620899  1378541  1149272  1383147   1079775   1355897   870727   913903  1407193  1536526
           32768    2048   669937  1244041  1351085  1480436  1329327  1229209  1165657   1067430   1213269   862087   901949  1301815  1359559
           32768    4096   604688  1162895  1394557  1336476  1316770  1200646  1191435   1004011   1110583   832222   926539  1296143  1535514
           32768    8192   642674  1307948  1282560  1471717  1322573  1216652  1280302   1280147   1329649   986570  1173299  1351989  1362659
           32768   16384   633418  1219145  1424447  1474432  1389538  1175527  1183983   1071165   1342848  1021191  1536303  1346756  1439335
           65536      64   671144  1303370  1463612  1616730  1267204  1123285  1267104   1200467   1157737   706809  1059542  1206478  1561985
           65536     128   451660   717015  1453705  1482782  1364254  1117599  1184651   1052467   1190072   771057   998902  1047170  1441620
           65536     256   589787  1307922  1144271  1509697  1212621  1239636  1197246   1151514   1189701   793527  1002860  1288324  1036779
           65536     512   591111  1199262  1249974  1397740  1155712  1265104  1131004    951576   1177621   770458   887095  1195673  1610498
           65536    1024   587413  1223780  1174943  1388533  1089921  1203267  1141046    907661   1103746   715215   837790  1067135  1524619
           65536    2048   607917  1082576  1159211  1357248  1046397   575564   934851   1000200   1061260   760967   831779  1068442  1322038
           65536    4096   598228  1167781  1031070  1343529  1092155  1206261  1121653    959642   1172293   833143   813686  1236947  1350115
           65536    8192   636884  1189531  1283865  1434990  1236852  1212150  1256396   1135747   1317097   886903   984555  1216851  1388063
           65536   16384   552972  1224466  1250042  1353966  1105104  1187204  1177304   1116473   1017513  1000440  1065761  1167785  1344272
          131072      64   629902  1216094  1409378  1600799  1360388  1201106  1243780   1273482   1287493   877963   974637  1229142  1587042
          131072     128   590151  1190502  1288773  1678993  1148063  1160638  1446022   1209954   1458138   892349   991902  1350280  1582400
          131072     256   652709  1232979  1368539  1468907  1276744  1269670  1291896   1046247   1253256   908537   931928  1343999  1699427
          131072     512   657410  1217394  1309788  1576899  1259897  1234269  1366444    978142   1384266   868969   908085  1010281  1542313
          131072    1024   641468  1237637  1297050  1441491  1179298  1159497  1253293   1078862   1314652   794886   745939  1415343  1523895
          131072    2048   656923   760733   743578   598420  1210916  1027692  1011358   1008998   1289027   734753   832752  1118399  1422513
          131072    4096   639718  1190816  1228716  1375734  1191454  1160956  1224799   1098435   1295381   785440   865236  1244157  1359924
          131072    8192   648528  1249590  1328375  1324107  1202296  1204340  1363218   1079794   1201261   830679   857408  1213978  1366841
          131072   16384   659243  1198362  1172042  1373432  1306110  1250867  1237556    738680    897723   609628   944581  1266298  1432966
          262144      64   652438  1232899  1444121  1575726  1234937  1175634  1325773   1229084   1341445   984785   992849  1365987  1596628
          262144     128   651807  1066319  1444749  1659487  1437650  1217959  1445953   1389512   1440968   929160  1010114  1459899  1599364
          262144     256   675381  1235717  1005249  1229672  1488473  1271407  1427963   1357254   1523952   964448   991471  1537789  1644990
          262144     512   667610  1249381  1360507  1524022  1455798  1250764  1493883   1209637   1452110   868017   959914  1415311  1458315
          262144    1024   591169  1157900  1431300  1568841  1407258  1124643  1434628   1058786   1152960   752800   754640  1474275  1548571
          262144    2048   664417  1199638  1336384  1406457  1253234  1241212  1249452   1147871   1388849   798898   839336  1259974  1423233
          262144    4096   626590  1115990  1324609  1421373  1269474  1146375  1258933    842977   1349150   791753   735828  1275173  1358131
          262144    8192   583946  1235369  1347915  1369562  1294576  1211022  1310424    814731   1165888   794373   857708  1311146  1355701
          262144   16384   645824  1088258  1252940  1388107  1327284  1264306  1358597   1128068   1276018   851819   883648  1399929  1450753
          524288      64   671944  1195478  1414189  1555308  1233267  1176330  1330902   1346305   1401797   965772   902482  1355134  1497828
          524288     128   683747  1022382  1547992  1620939  1544189  1209985  1432695   1253422   1525889   981908   986412  1541433  1643417
          524288     256   682825  1282661  1595316  1703909  1565072  1244618  1604804   1327304   1604843   946057  1018475  1613898  1712308
          524288     512   685770  1304952  1586736  1632970  1541384  1231489  1503567   1241626   1558447   837441   960248  1587798  1570683
          524288    1024   677438  1231061  1566980  1513681  1524438  1226771  1470508   1167827   1566984   833664   868247  1473559  1401652
          524288    2048   557442  1006602  1154552   883679  1164786  1031549  1064012    992952   1115741   661607   705666  1157184  1176160
          524288    4096   569026  1023478  1165227  1158870  1128008  1037000  1131662   1010862   1183919   708934   718648  1136736  1170223
          524288    8192   579941  1061225  1154905  1199534  1150202  1051094  1152218   1043841   1165118   720138   719156  1145861   698740
          524288   16384   422131   986093  1075762  1197247  1141188  1049194  1128673   1047507   1174482   725062   746742  1156202  1199422

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   107382  331481  388021  340306  149229 
"128"   118966  61246  502309  582412  144951  214336 
"256"   153483  413008  147455  159502  407058  458706  322851 
"512"   301198  466762  291389  281165  232718  339265  736750  568296 
"1024"   238970  212266  337076  368609  258517  379253  330336  266953  581516 
"2048"   342299  295696  445586  462102  423487  513266  516538  289264  508165  446768 
"4096"   278808  299505  383480  424018  537596  493436  449560  462087  474230  670910  659475 
"8192"   291498  400566  419887  436553  419134  538100  533330  545550  679209  592084  610429  483301 
"16384"   301386  370863  468902  534549  486386  633710  602486  657597  527002  571824  598003  661662  675629 
"32768"   0  0  0  0  539444  519820  678708  632281  649231  669937  604688  642674  633418 
"65536"   0  0  0  0  671144  451660  589787  591111  587413  607917  598228  636884  552972 
"131072"   0  0  0  0  629902  590151  652709  657410  641468  656923  639718  648528  659243 
"262144"   0  0  0  0  652438  651807  675381  667610  591169  664417  626590  583946  645824 
"524288"   0  0  0  0  671944  683747  682825  685770  677438  557442  569026  579941  422131 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   639427  166233  496362  1204796  1226821 
"128"   584313  281407  1007629  143325  488594  1278855 
"256"   744204  1012194  658008  1226004  1384034  1339154  1031644 
"512"   566946  642419  747521  994294  447503  792778  1387437  1024169 
"1024"   420670  750238  1020956  1002839  1141730  1141730  964986  1217806  1190465 
