	Iozone: Performance Test of File I/O
	        Version $Revision: 3.492 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Mon Nov 22 17:24:33 2021

	Excel chart generation enabled
	Auto Mode
	Command line used: iozone -Ra
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    10957    76112    35892   780776    41911   250919    36677     57705    112090    38904   180302    38185   735831
              64       8    56443   592827   365314   418250   608965    99538   481234    752329    752329   524487    63492   703068  1033216
              64      16    43213   799377  1226821  1392258    24094   659861    69799    710511   1168097   297664   771797   913649  1279447
              64      32    73387   203853  1357066  1562436  1105556   852702   874936    780776   1255511    34226   983980   983980  1421755
              64      64   421534  1119387  1255511  1690338  1330167   811459   955947    863676   1363961   983980  1143223   185025  1188789
             128       4   223714   662962   848397    84151   624409    88391   533241    574312     85792    72356   475609    95736   329812
             128       8    86720   780556  1085013  1172704   627328   606767   743788    241963   1032829   111296   663782   895074   152053
             128      16   490380   103307  1243315  1406136  1183041   121689   864797   1022989   1487977   699227   353482  1093856  1319723
             128      32   120406   876086  1436229  1543594   101992   836500  1015251    766076     88756   889145  1133103   155128   287742
             128      64   518312   288825   727658  1487977  1455701  1024942   126715    992724   1455701   789741  1102844  1254941  1637771
             128     128   191342  1111981  1196221  1827299  1155043  1067750   151838    992724   1455701  1102844    91634  1000121  1471662
             256       4   254996   454627   762164   176928   595594   464661   144712    215879    136681   285736   330300   709299   454820
             256       8   481324   552960  1044693   235945   145694   246848   105436    251945    182057   599585   379708   218071   917880
             256      16   389064  1012194   262284   677095  1185399   128456   507006    268381    245718   762164   223193  1007446  1319408
             256      32   605332   931416  1523457   274347   599251   952062   259057    100473   1376935   265330   557844  1327564  1506359
             256      64   153945  1230218  1117543  1084800  1534342  1103757   192192   1132871    262284  1058076  1168627  1455317   143245
             256     128   416856  1325925  1662639  1740810  1632308   228805  1260547    267779    306537   192330  1642294   625794  1718521
             256     256   355096  1158540  1622442  1775350  1347557   782721  1325925    166864   1463250   523570  1178892   243103  1561112
             512       4   227347   488975   730484   615359   264181   441704   220394    504956    286989   238349   407661   260686   598884
             512       8   409293   140195   256912   646480   310877   596721   334874    336817    370459   271599   429513   178766   571320
             512      16   237690   800163   441341  1350783   406966   922535   353856    674502    329681   308821   782951  1187895   239039
             512      32   496206  1110496   390536  1406520   320385   589837   395062    470546    279773   635951   935801  1193175   362089
             512      64   526240  1191189  1614885   388206  1163439   678122   331821    363684   1589779   294587   288144  1368865   934580
             512     128   407352   805264  1753325  1754758   516618   869143   540681   1216149    155526  1204552  1122687  1015932  1741948
             512     256   551654  1199171  1662389  1073309  1655979   265981  1351633    493696    354089   408592  1560891  1230786  1518938
             512     512   498973   928920   387017  1096322  1700565   656561   304055   1207940    409215  1195832  1118011   980673  1729323
            1024       4   224364   458971   436311   657647   409285   248784   348199    374262    432445   377585   372477   445221   560129
            1024       8   283743   683606   525647   878171   475169   535278   413064    501466    649001   349730   502229   447914   869284
            1024      16   482103   756182   679496  1114474   709582   641249   552066    499019    541486   589821   667977   527844   700898
            1024      32   347945   935151   547631  1272279   570168   878890   564176    270535    592915   474487   706199   573671  1164956
            1024      64   227393   871401   667458  1367037   596788   908640   730958    438315   1727102   361961   852039   522705  1187831
            1024     128   326122  1067654   696126  1495042   511256  1029275   455322    595051   1874871   925877   932511   942745  1345623
            1024     256   152906   609924   645975  1434138   572677   819993  1166221    549101    625559   564770   760735   569563  1418508
            1024     512   567006  1141426  1673273  1460969   848337   368356  1551758    542375    705735   529471  1268896   922497  1551198
            1024    1024   538094  1024854  1718120  1268896   421579   615783   654241    598117    657244   584205  1039740  1208894  1383774
            2048       4   194492   524742   515608   560451   430534   425965   446675    549059    473749   352685   344606   504050   595002
            2048       8   337286   648306   653684   966594   543398   547450   519537    648943    745537   478393   463448   608964   864108
            2048      16   431811   859010   414656  1226291   645432   864891   793541    763359    849747   668643   720341  1063399  1144133
            2048      32   438713   659961   869267  1385740  1064453   841424   906990    772281    880494   429243   732504   958397  1136564
            2048      64   384306   951286   939015  1415424   860472  1145965   670836    753449    944176   618167   844900   779358  1168888
            2048     128   495988  1138372   897795  1559876   845648  1076728   535304    825494    869707   638998   903841   614453  1622638
            2048     256   528000  1025075   794128  1013824   981840  1190598   894709    848740    897420   706246   878603  1403628  1431225
            2048     512   440513  1105268  1549185  1625402   966920   824148  1385740    729642   1238312   696398   700201   867074  1490582
            2048    1024   473514  1153041  1608660  1598780   780491  1103423   948555    445794    968774   823121  1369829  1100454  1387530
            2048    2048   404578   981728  1137166  1329957   745796   870324  1134013    919613    820213   730138   973385   841753  1276781
            4096       4   264819   505114   484338   701253   450161   446778   503929    488497    532910   302959   394035   524051   607453
            4096       8   366763   706327   800784   875773   755597   602531   589445    646472    619210   517765   497450   686925   915683
            4096      16   390799   860292   956306  1157688   622215   798885   846265    657783    829993   527640   701740   766041  1031712
            4096      32   529477   921281  1186880  1304489  1013393   856731   912279    796884   1005681   633270   705718  1014830  1358113
            4096      64   487264  1079625  1059713  1498226   965551   867985  1035380    982503   1085903   722790   826638  1064440  1168237
            4096     128   525735  1100159   759337  1390766  1049998  1083301  1009108   1118859   1063650   707665   815301  1392683  1589432
            4096     256   495342  1202919  1608932  1624143  1350851  1149631  1524415    885843   1109108   788725   836744  1034570  1531755
            4096     512   664089  1138734   814296  1496529  1102276  1161680  1159955    665478   1210122   748943   917982  1470274  1558574
            4096    1024   646861  1099243   994619  1344298  1208674  1064440   974312   1178656   1063320   805024   907604  1168316  1446384
            4096    2048   501224  1107677  1191738  1415401  1343352   861975  1236423   1170625   1032766   970844  1401773  1205113  1274867
            4096    4096   517313  1017897  1388967  1269310  1422197  1005387  1206806   1108821   1279615  1084121  1077053  1293294  1346088
            8192       4   323550   507276   646871   659637   547331   444804   517498    526305    501135   391533   416917   500427   622630
            8192       8   384075   686716   883810   904875   742707   603418   716397    762468    729292   536688   450213   751692   874832
            8192      16   452674   914581  1182950  1094893   913366   744800   846636    961843    996720   661186   655459  1048358  1049863
            8192      32   483791   808296  1225959  1371273   864944   944005  1081896    981067   1310699   743302   736625  1176509  1413120
            8192      64   581109  1146669  1316222  1526637  1251273   978943  1323880   1186217   1313254   747246   849252  1219952  1580862
            8192     128   677135  1022343  1437717  1596582  1272073  1175664  1389911   1201313   1324901   726378   843394  1593472  1444548
            8192     256   588202   929123  1730463  1629983  1234105  1152322  1058955   1241956   1239179   821830   861215  1362140  1589197
            8192     512   590619   895115  1404628  1570816  1028125  1162459  1208454   1229645   1430415   784669   928997  1055118  1522106
            8192    1024   578565  1082612  1592807  1625664  1333799  1158031  1130410   1015634   1272639   824393   855298  1374455  1672185
            8192    2048   684091   522917  1257041  1372643  1236548  1155772  1333540   1115474   1404915  1001834   950140  1383086  1226003
            8192    4096   661491   946267  1118961  1392728  1244430  1042758  1306314   1043708   1388956   958810  1411900  1358049  1365551
            8192    8192   482020   987467  1413352  1490285  1319761  1124785  1349144   1089374   1448872  1042220  1226879  1333333  1458714
           16384       4   325790   529920   676833   690288   547191   461936   564905    583165    562427   429145   449814   596368   650236
           16384       8   429532   667861   904539   969480   774698   636663   790889    793336    776967   551499   570291   841719   927691
           16384      16   522066   948040  1167035  1218974   913582   836605   799455   1051274    959986   696981   745841  1059018  1141257
           16384      32   559619   951071  1323748  1406721  1163124   906436  1225780   1023360   1237167   753876   826891  1283209  1381107
           16384      64   580029  1156313  1605640  1529519  1396146  1103452  1336257   1126663   1471672   680567   900261  1444542  1555203
           16384     128   584325  1089370  1397367  1668442  1371158  1109724  1463274   1156741   1475654   879251   915261   905194  1565905
           16384     256   587809  1119359  1408768  1639855  1400100  1115851  1457285   1039066   1447615   890439   857580  1460351  1646614
           16384     512   654971   854711  1590993  1543605  1512418  1175399  1505032   1132437   1540560   827767   867146  1440122  1634162
           16384    1024   626586  1130165  1548893  1611362  1486475  1095396  1361595   1023360   1364407   773599   869912  1406951  1698504
           16384    2048   662274  1168205  1349827  1480327  1243278  1094663  1244403   1154855   1283401   835324   918908  1289978  1346389
           16384    4096   647333  1103151  1438825  1447981  1305714  1113500  1369110   1091100   1412910  1047236   762678  1379692  1402730
           16384    8192   668953  1106436  1444936  1506021  1460661  1142301  1003602   1128142   1033223   976339  1536083  1497064  1515487
           16384   16384   711604  1219688  1511853  1546558  1435669  1127976  1462091   1233282   1520550  1195125  1166876  1466772  1348159
           32768      64   585489   975036  1457251  1422648  1349745  1105571  1420560   1048105   1359545   912253   917025  1472189  1465674
           32768     128   614785  1160950  1517542  1599600  1572513  1031577  1527017   1251016   1516487   950234  1001378  1546172  1583985
           32768     256   639462  1142384  1426369  1630900  1560674  1096102  1545807   1121696   1583620   807448   906746  1530435  1646117
           32768     512   596878  1187553  1552249  1571596  1508713  1165044  1590676   1169993   1534519   896402   972662  1566795  1716939
           32768    1024   653295  1136480  1574621  1584752  1441554  1140233  1423090   1113724   1488226   867359   849900  1433809  1597592
           32768    2048   665774  1204128  1423385  1478636  1438777   985947  1322675   1142612   1342009   839235   895689  1371895  1503876
           32768    4096   656870  1232483  1515918  1473989  1371334  1074045  1309830   1103113   1431420   954080   946530  1443083  1498106
           32768    8192   697133  1224882  1542181  1527221  1473057  1184157  1509906   1191610   1444159  1076586  1107549  1502019  1518648
           32768   16384   694399  1240358  1556891  1564244  1496605  1171330  1505869   1152066   1477428  1010418  1612531  1440662  1500575
           65536      64   650920  1142597  1482854  1550085  1176251  1130162  1228714   1180768   1322413   911843   959585  1323795  1571118
           65536     128   628503  1262930  1485233  1562393  1323451  1154639  1339549   1217460   1368124   919958  1036618  1561870  1516368
           65536     256   594365  1261933  1343418  1617891  1430703  1054918  1273332   1152403   1613788   974582   865218  1437474  1741311
           65536     512   692974  1214710  1400339  1507925  1442226  1194431  1506016   1018780   1477664   916214   984083  1455938  1588368
           65536    1024   665076  1201506  1477164  1555638  1574664  1180362  1524873   1176080   1546101   860718   885623  1568635  1707201
           65536    2048   636383  1125949  1520587  1616854  1447961  1140270  1437346   1043996   1491827   834407   860516  1515950  1580931
           65536    4096   707296  1204929  1491075  1585025  1441613  1190634  1479271   1144896   1434361   879913   916358  1493968  1552650
           65536    8192   710525  1249997  1547153  1575955  1534338  1170411  1500811   1229109   1473380   965453   966495  1361672  1492370
           65536   16384   704983  1249593  1539925  1586104  1520024  1222142  1520587   1220546   1525338  1037322  1112439  1552545  1554319
          131072      64   655618  1193821  1558764  1682827  1364236  1173280  1449140   1258046   1456403   906513   961601  1364023  1631933
          131072     128   721586  1251738  1599886  1794079  1462319  1194288  1557674   1260295   1577564   982187   990597  1600878  1709648
          131072     256   722753  1225260  1703143  1773326  1583435  1209911  1626223   1170475   1576804   910887   995624  1446935  1760960
          131072     512   710075  1201161  1525460  1757420  1381085  1223346  1692869   1247472   1450233   918585   969166  1585485  1634743
          131072    1024   724162  1165777  1584430  1617614  1474007  1185872  1510779   1086066   1390361   833944   857570  1488542  1690418
          131072    2048   708294  1171877  1548691  1581849  1451999  1217858  1472073   1253691   1504845   880813   894066  1454512  1527575
          131072    4096   735380  1064925  1576750  1518831  1579087  1215970  1517543   1184265   1511718   877615   857380  1542002  1533703
          131072    8192   688233  1195628  1539829  1575214  1507337  1172672  1508723   1168823   1503824   876805   880008  1567306  1523439
          131072   16384   720555  1250482  1585481  1515477  1547810  1242847  1563228   1213102   1535014   966116  1004390  1601680  1606374
          262144      64   676177  1060576  1517036  1703394  1494243  1148822  1482211   1306089   1539262   937025   985344  1520380  1639535
          262144     128   694509  1241077  1589009  1777454  1630138  1203512  1627464   1316017   1530518   994325  1028342  1635445  1719293
          262144     256   699959  1289247  1632958  1814244  1682350  1209218  1606334   1213803   1059373  1003817   997530  1675962  1713919
          262144     512   670969  1189892  1692846  1753506  1668072  1160802  1655826   1215115   1624027   896982   922619  1585284  1763544
          262144    1024   680916  1192018  1725923  1756490  1633448  1155007  1553160   1135777   1580151   849560   846013  1646158  1665475
          262144    2048   709440  1219268  1521641  1571775  1571353  1226352  1542659   1107106   1558886   879070   870982  1502781  1577215
          262144    4096   738063  1237631  1527781  1565879  1561132  1243271  1490782   1229015   1597192   850195   891995  1533258  1576379
          262144    8192   715843  1233949  1506420  1569930  1581305  1271395  1608343   1159190   1617662   892514   906395  1604112  1616884
          262144   16384   706970  1282561  1580371  1617295  1456039  1257641  1596997   1236755   1428429   906426   931603  1609626  1615888
          524288      64   700642  1218557  1630827  1706089  1528113  1155494  1507944   1252007   1543725   967169   979093  1590670  1657827
          524288     128   736415  1288994  1704935  1783711  1653623  1232470  1630330   1381519   1674784  1008127  1029260  1663787  1743303
          524288     256   736838  1290863  1747446  1812301  1715843  1219818  1704886   1264368   1685612   991039  1010441  1731483  1753688
          524288     512   706558  1205625  1677098  1784659  1656004  1205606  1633179   1250263   1661351   916415   930877  1665257  1754903
          524288    1024   721091  1187041  1717343  1718690  1595841  1230454  1618602   1222330   1606702   868809   896264  1577303  1569156
          524288    2048   744530  1258894  1469846  1574986  1558789  1246689  1561124   1245999   1480700   866501   865622  1552686  1573782
          524288    4096   742287  1256631  1546002  1555649  1570510  1257484  1557405   1251833   1560528   876542   894651  1596263  1615993
          524288    8192   734658  1262006  1550840  1539818  1578985  1258900  1549378   1250275   1582589   892119   901690  1611908  1589435
          524288   16384   678959  1200732  1548541  1532911  1558164  1169632  1575427   1180953   1563283   864087   871101  1600342  1604235

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   10957  56443  43213  73387  421534 
