	Iozone: Performance Test of File I/O
	        Version $Revision: 3.492 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Mon Nov 22 16:45:45 2021

	Excel chart generation enabled
	Auto Mode
	Command line used: iozone -Ra
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    93407   447537    40024   955947   129816   119847    33753     74944     43185    61066   481234    59377   710511
              64       8    47336   942521   916769  1363961   653436   659861   720041    651849    983980   695778   842003   842003  1143223
              64      16   292156  1124074  1255511  1143223  1163036   809014    31404    799377   1066042   453587  1163036   771797  1392258
              64      32   447537   760859    49501  1690338  1330167   901377   969761    673098    577521   415659  1484662  1066042  1599680
              64      64    64268   929467  1638743  2052169  1492919  1163036    65031    969761   1452528  1143223  1279447    63931  1210227
             128       4   273522   225404   673778   992724   402510   260641   597981    342216    535368   561694    96667   780556   805138
             128       8   488594   130093   955616   571257  1076312   831319   927549    666253     77899   128382   337695   969421  1254941
             128      16   546819  1217930  1543594  1663139  1123617   130219   848397   1114289   1539168  1024942   131689   377597  1391557
             128      32   508012  1229084    88464  1749872  1451764   150434   160221    934004   1618028  1217930   122943  1278855  1684006
             128      64    93485  1165070  1833539  1852520  1319723    94606   526961    334123   1421023   590094  1217930  1306873  1336145
             128     128    83445  1206978  1772988   321709  1603529  1217930   118180     81063   1377278   895074   542400  1175271  1705404
             256       4   148495   739590   927393   873809   672010   438475   748353    159597    739590    84875   571502   203830   914752
             256       8   166554   917880  1267990   197349  1076103   889002   180133   1007446    947860   549564   389064   223425  1057034
             256      16   650041  1300235  1506359  1675612  1471270   186581  1169901   1195962   1581810   917880   686182  1361224  1598292
             256      32   144557  1292410  1740810  1552085  1543163  1219045  1463250   1274008   1829808   163909  1202660   292907   374281
             256      64   210545  1375171  1802167  1985448   343179   441359  1375171   1190657   1552085   255725  1248819  1610276   243103
             256     128   686182   552960  1718521  1897721   706964  1260547  1479379    241953   1437779   234656  1652404  1540948   799625
             256     256   619655   635423  1361224   711178  1704877  1362952   608074   1347557    852984  1286217  1481420   192054  1673001
             512       4   196911   543418   263113   660803   299225   498047   368110    288803    320194   194222   259238   277065   650593
             512       8   465851  1034032  1255246   318579   383561   696600   286682    941133    690996   399323   846197  1158418   336659
             512      16   489420  1108203  1402845   498047   316606   514021   321392   1365383    515008   367291  1053304   829847  1565443
             512      32   248298   621413   533827  1024169  1565443   342511  1438555   1358474    542457   383561  1140576  1551867  1696534
             512      64   162912  1354190   330087  1902438   787545  1333173   861818    894857   1734911   486648  1230786   384729  1823291
             512     128   174085  1062161  1931527   878027  1809465   371035  1614885    528962   1711407   442524  1418599   500484  1795846
             512     256   280247  1004057  1954379   964378  1789859   359002  1594501    751971   1815584   370459  1140576  1696534  1127402
             512     512   597385  1018341   469723  1961520  1098566  1411141   821907    778128   1689859   369440   426273   934173  1795846
            1024       4   243453   646851   421910   355696   374425   522705   415904    387010    268976   265764   510163   396587   618710
            1024       8   265157   836604   536146  1081363   537555   682303   455129    500999    382223   431706   681761   557440   991266
            1024      16   338058   987392  1065535   970656   539243   874595   377884    399241    462281   359176   722109   545544  1187831
            1024      32   550509  1002839   738245  1673273   608024   950675   524556   1062372    354083   671423   903860   572753  1239956
            1024      64   334869  1166538   410891   576907   730336  1159609  1113030    768769   1020956   547631   624376   570168  1087111
            1024     128   363893  1189476   529732  1855433   630518   836604  1296083    671948   2064088   503938  1048113   624376  1190795
            1024     256   341336  1154311  1468964  1477555   599872  1199106   768769    540668    635274   345815   903860   968686  2011877
            1024     512   658554  1427940   405843  1338494   632095  1174192   616136    670585    701470   502699   992182   447914  1761816
            1024    1024   567306  1065535  1244266  1078919   540396  1107291  1103592    621395    681221  1060013   715135  1530742  1771993
            2048       4   328000   470248   523910   720643   490886   411320   454498    502341    368464   429887   529334   528910   531693
            2048       8   402267   651799   477940   828839   582494   675904   661741    723192    611174   499769   532055   660621   994227
            2048      16   600786   978931   957543  1087085   710628   908237   751012    726494    800045   640380   789820   854736  1305301
