	Iozone: Performance Test of File I/O
	        Version $Revision: 3.492 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Mon Nov 22 16:48:50 2021

	Excel chart generation enabled
	Auto Mode
	Command line used: iozone -Ra
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20499   212066   158387   913649   172537   127473    35072    200653    208444    38077   645579    33559   145745
              64       8    17477  1049372    43985  1105556  1049372    43834   651849    789967    831569   621657   969761    36280   141221
              64      16   214781    66745    64842  1421755  1124074   863676   877797     37649   1013707   340738   176392   844652  1484662
              64      32   201255   598110   653436    27419  1083249   942521   743988    679917   1421755   582535  1492919  1083249  1562436
              64      64   413101   780776  1734015  2133730  1648808  1279447    24825   1033216     47095   863676  1210227  1204796    72241
             128       4   142375   670413   126358   287742   757430   640042   126626    669577    535903   247086   673778   795593   181325
             128       8    82738   819893  1266785   706589   695603   322482    90461    809997    136754   515822   774922  1000121   992724
             128      16   561107  1254941    83341  1526043  1359835    65907   953918   1057236   1603529   130346   985435  1196221  1471662
             128      32   417212  1254941  1017175   156485   153839   452366  1102844   1231904   1705404   125121  1114289  1319723  1663139
             128      64   603357   129967  1349580  1967960  1663139  1209698    87913   1196221   1663139   795593  1663139  1421023  1802755
             128     128   531131  1440082  1778862  1185654  1346196   663782  1015251     94539   1359835  1123617  1076312  1363288   159792
             256       4   151662   686182   160312   955451   187821   659625   191883    254694    146950   454050   646518   187821   847597
             256       8   540164   190183  1190657  1274008   750445   504861  1036624    958864   1102624   624702   486559   152027  1213534
             256      16   592636  1237306  1347557  1340826  1430119   213901  1112909    167411   1455317   167960  1031644   133752   661657
             256      32   660030   752549  1729594  1802167   295975   523570  1369908    269188    311427   260376  1168627  1540948   234861
             256      64   136247   318069  1219045  1683493  1514860   265593   205429   1340826   1826695   628725  1422540  1598292   257257
             256     128   175110  1497953   225727  1842366  1437779   205626   697776   1286217    249023   679237  1911233   236830  1540948
             256     256   641497  1447470  1707589   282280   403843  1280084   163386    563997   1495866  1292410   256274  1570244  1911233
             512       4   190467   592604   374595   932550   196084   458393   270914    339963    380705   298021   498047   591951   695697
             512       8   394482   734482   414908  1195832   371035   857687   359062    786391   1108203   565751   679840   182860   836636
             512      16   505432  1270094   665926  1668848   387017  1064794   336817    365727   1442420   268039   744153   206037  1364516
             512      32   285387   927716  1874212   544106   480764  1276891   455573    752761    493242   257807  1105920  1575781   912733
             512      64   599553  1560891   532239  1171691  1910902   389121  1570020    467677   2089386   422084  1368865   204877  1789859
             512     128   283653  1094088  1862832   367858  1834193   368362  1571169   1017858    903136  1483267   794832   348063  1842059
             512     256   517739   948197   495176  1963313   478515   552363  1565443   1336492    363376   381245  2024389  1772135   475864
             512     512   608903  1406520  1760512  1854787  1672748   891884  1645826   1463057    315861   532767  1273861   920953  1801873
            1024       4   266804   584126   397064   699984   569487   361839   408274    448757    468688   322111   419479   391276   688648
            1024       8   341119   709582   476065  1004951   447587   565141   522450    820463    564176   375637   637159   349730   966941
            1024      16   348538   973296   556501  1147832   588528   636027   536951    610965    767533   508472   806293   684478  1115342
            1024      32   372477  1064215   451066  1670669   607680  1101046   620587    646072    462480   530321   989212   659363  1149368
            1024      64   366127  1194770   605197  1822368  1125277  1117955   665390   1712639   2391665  1060013   432794   738880  1681132
            1024     128   363370  1034232  1551758  1333093   891107  1009913  1872419    717046   2160657   351907  1020956   568507  1424152
            1024     256   399056  1528019   630148  1414304   523278   926676  1034481    624014    911920  1153071  1481633   676393  1790460
            1024     512   538431  1204825  1482144  1517224  1503942   966941   558600    596373    806899   322934  1301187  1301187  1292961
            1024    1024   691865   841522  1361404  1950656  1374474   947320  1135391    542992    944819   626288  1088213   658151  1372279
